Player ID,Name,Last Name,Cost Today,Form,Position,Team,Selection %,Goals,Assists,Clean Sheets,GW Points,Total Points,Points/Game,Total Bonus Points,Total BPS,Goals Conceded,Minutes,YC,RC,Saves,Penalties Saved,Penalties Missed,Chance Of Playing Next,Total Cost Change,Cost Change GW,Total Transfers Out,Transfers Out GW,Total Transfers in,Transfers in GW,Influence,Creativity,Threat,ICT Index,Last GW,GW38,GW39,GW40,GW41,GW42,GW43,Difficulty Score,Cost Today,Total Cost Change,Cost Change GW,Position,Team,Index,xGi,xGc
56,Morgan,Sanson,£4.50,0,MID,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,637,0,0,0,0,0,0,0,37,CRY (A),,,,,,2,45,0,0,3,7,0,0,0
57,Viljami,Sinisalo,£4.00,0,GK,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,402,1,0,0,0,0,0,0,37,CRY (A),,,,,,2,40,0,0,1,7,0,0,0
58,Youri,Tielemans,£5.60,2.8,MID,Aston Villa,0.4,2,6,4,8,77,2.4,2,318,27,1613,3,0,0,0,0,100,-£0.40,£0.00,109361,162,34523,334,369.2,325.4,136,83.3,37,CRY (A),,,,,,2,56,-4,0,3,7,1.4,0.18,1.73
59,Bertrand,Bertrand Traoré,£5.00,0,MID,Aston Villa,0,0,0,0,0,2,1,0,6,0,10,0,0,0,0,0,0,£0.00,£0.00,3571,5,1492,0,3,0,0,0.3,37,CRY (A),,,,,,2,50,0,0,3,7,0,0,6.93
60,Ollie,Watkins,£8.90,4.5,FWD,Aston Villa,35.7,19,18,7,5,226,6.3,29,751,52,3154,4,0,0,0,0,100,£0.90,£0.00,7700245,18489,8767760,26400,1024.6,587.9,1407,301.9,37,CRY (A),,,,,,2,89,9,0,4,7,2.25,0.58,1.51
61,Wesley,Wesley,£5.00,0,FWD,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,796,0,0,0,0,0,0,0,37,CRY (A),,,,,,2,50,0,0,4,7,0,0,0
584,Pau,Pau,£4.60,1.5,DEF,Aston Villa,2.9,2,0,6,1,85,2.9,4,461,37,2462,1,0,0,0,0,100,£0.10,£0.00,1024932,2129,1049603,985,479.4,150.6,135,76.6,37,CRY (A),,,,,,2,46,1,0,2,7,0.75,0.07,1.46
599,Moussa,Diaby,£6.30,4.5,MID,Aston Villa,5.7,6,11,8,5,140,3.8,10,431,35,2082,1,0,0,0,0,100,-£0.20,£0.00,2628197,2685,2483570,2681,508.8,616.4,641,176.4,37,CRY (A),,,,,,2,63,-2,0,3,7,2.25,0.47,1.44
618,Omari,Kellyman,£4.50,0,MID,Aston Villa,0,0,0,0,0,1,1,0,3,0,13,0,0,0,0,0,,£0.00,£0.00,8800,17,7894,25,0.4,0.3,2,0.3,37,CRY (A),,,,,,2,45,0,0,3,7,0,0.28,4.85
670,Filip,Marschall,£4.00,0,GK,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,3038,5,3154,0,0,0,0,0,37,CRY (A),,,,,,2,40,0,0,1,7,0,0,0
